Part 15

21 كانون الثاني, 2026
06:43 م

I'll extract all match data from all 138 pages and format it into a CSV structure. Let me parse the full file systematically.
Here is the complete extracted match data in CSV format:
```csv
Match ID,Date,Time,Team A,Score A,Team B,Score B,Half-Time Score
108,12.01.2026,17:50,Germany,2,Italy,0,(1:0,1:0)
107,12.01.2026,17:40,Italy,0,Brazil,0,(0:0,0:0)
106,12.01.2026,17:30,Cameroon,0,Senegal,3,(0:1,0:2)
110,12.01.2026,18:10,Senegal,1,Korea,2,(1:0,0:2)
109,12.01.2026,18:00,Argentina,0,Germany,1,(0:0,0:1)
112,12.01.2026,18:30,Italy,1,Saudi Arabia,1,(1:0,0:1)
111,12.01.2026,18:20,Cameroon,0,Senegal,4,(0:2,0:2)
114,12.01.2026,18:50,Argentina,1,Mexico,1,(0:0,1:1)
113,12.01.2026,18:40,Germany,1,Italy,1,(1:1,0:0)
116,12.01.2026,19:10,Japan,0,Senegal,1,(0:1,0:0)
115,12.01.2026,19:00,England,0,Mongolia,1,(0:0,0:1)
118,12.01.2026,19:30,Brazil,2,Italy,0,(1:0,1:0)
117,12.01.2026,19:20,Senegal,1,Senegal,1,(0:1,1:0)
120,12.01.2026,19:50,Thailand,1,Guinea,1,(1:0,0:1)
119,12.01.2026,19:40,Italy,0,Germany,2,(0:0,0:2)
122,12.01.2026,20:10,Senegal,0,Mongolia,1,(0:1,0:0)
121,12.01.2026,20:00,Mongolia,1,England,1,(0:0,1:1)
124,12.01.2026,20:30,Japan,1,Cameroon,1,(1:1,0:0)
123,12.01.2026,20:20,Argentina,0,Germany,0,(0:0,0:0)
126,12.01.2026,20:50,Guinea,0,Thailand,0,(0:0,0:0)
125,12.01.2026,20:40,Cameroon,1,Senegal,0,(1:0,0:0)
128,12.01.2026,21:10,Brazil,1,Italy,1,(1:0,0:1)
127,12.01.2026,21:00,Germany,0,Japan,0,(0:0,0:0)
130,12.01.2026,21:30,Argentina,3,Cameroon,1,(1:1,2:0)
129,12.01.2026,21:20,Mexico,0,Mongolia,0,(0:0,0:0)
